CountyID,CountyName
1,Galway
2,Leitrim
3,Mayo
4,Roscommon
5,Sligo
6,Carlow
7,Dublin
8,Kildare
9,Kilkenny
10,Laois
11,Longford
12,Louth
13,Meath
14,Offaly
15,Westmeath
16,Wexford
17,Wicklow
18,Clare
19,Cork
20,Kerry
21,Limerick
22,Tipperary
23,Waterford
24,Cavan
25,Donegal
26,Monaghan
27,Antrim
28,Armagh
29,Down
30,Fermanagh
31,Londonderry
32,Tyrone
